名稱,國家城市,服務性質,電話,負責人
台灣基督長老教會嘉義中會事務所,台灣 - 嘉義市,宗派中心,05-276-6995,黃世偉 牧師
新石門浸信會,台灣 - 屏東縣,教會,08-780-2527,何勝朗
台灣基督長老教會八瑤教會,台灣 - 屏東縣,教會,08-881-1401,黃麗英 牧師
台東神召會（台召）,台灣 - 台東縣,教會,089-32-9316,陳馬可
台東康樂台福教會,台灣 - 台東縣,教會,089-35-2620,方秀菊
台灣基督長老教會客家宣教中會,台灣 - 新竹縣,宗派中心,03-517-0655,
基督喜信會總會,台灣 - 台中市,宗派中心,04-9298-4717,王永生
台灣聖教會總會,台灣 - 台中市,宗派中心,04-2229-5600,陳光宇
中華基督教福音信義會總會,台灣 - 台中市,宗派中心,04-2529-0243,吳進春 牧師
橋東基督喜信會,台灣 - 屏東縣,教會,0927-172-913,陳聰明
長老教會中部中會事務所,台灣 - 南投縣,宗派中心,049-2926186,石慈平
基督教台灣貴格會差會,台灣 - 嘉義市,宣教福音,05-276-2275,任如松
台灣基督長老教會鄒族區會事務所,台灣 - 嘉義縣,宗派中心,05-256-2974,鄭信得
台灣基督長老教會台南中會事務所,台灣 - 台南市,宗派中心,06-274-6421,郭玲雅
基督教台東豐恩堂,台灣 - 台東縣,教會,089-22-8720,林文雄
台灣基督長老教會高雄中會事務所,台灣 - 高雄市,宗派中心,07-311-0125,陳秀惠
財團法人基督教中華循理會,台灣 - 高雄市,宗派中心,07-969-0052,段福鴻
中華民國台灣基督教信義會總會,台灣 - 高雄市,宗派中心,07-725-8679,范義士
財團法人台灣基督四方教會,台灣 - 台北市,宗派中心,02-2591-3007,石明
台灣基督長老教會魯凱中會事務所,台灣 - 屏東縣,宗派中心,08-761-0381,盧天武 牧師
台灣基督長老教會東美中會事務所,台灣 - 台東縣,宗派中心,089-852-812,給籟．琶義子 牧師
台灣基督長老教會比努悠瑪雅呢區會事務所,台灣 - 台東縣,宗派中心,089-23-7305,余登明 牧師
台灣基督長老教會阿美中會事務所,台灣 - 花蓮縣,宗派中心,03-835-3601,周銀蓮 牧師
台灣基督長老教會太魯閣中會事務所,台灣 - 花蓮縣,宗派中心,03-831-6290,呂玉美 牧師
樂音有限公司 / 榮光出版社,台灣 - 台北市,書房出版,02-2796-0089,郭明德
台灣基督長老教會壽山中會事務所,台灣 - 高雄市,宗派中心,07-312-0691,曹怡瑋
北美浸信宣道會差會,台灣 - 台中市,宣教福音,0911-131-321,戴以理
中華浸信宣道會聯合會,台灣 - 高雄市,宗派中心,07-333-2345,陳宏昌 牧師
中華民國台灣基督教信義會芬蘭差會台灣分會,台灣 - 高雄市,宣教福音,07-725-8679,高英茂
台灣基督長老教會屏東中會事務所,台灣 - 屏東縣,宗派中心,"08-722-1867,08-723-3776",黃美俐
台灣基督長老教會排灣中會事務所,台灣 - 屏東縣,宗派中心,"08-799-3930,08-799-3931",樂歌安·督達里 牧師
台灣基督長老教會達悟區會事務所,台灣 - 台東縣,宗派中心,089-73-2980,鍾加叁 牧師
台灣基督長老教會東部排灣中會事務所,台灣 - 台東縣,宗派中心,089-77-2082,巫化．巴阿立佑司 牧師
台灣基督長老教會東部中會事務所,台灣 - 花蓮縣,宗派中心,03-823-6641,
台灣基督長老教會布農中會事務所,台灣 - 花蓮縣,宗派中心,03-888-5991,劉彼得 牧師
中華基督教婦女祈禱會,台灣 - 台北市,其他,02-2394-0149,林國銘
財團法人中華基督教路加傳道會,台灣 - 台中市,宣教福音,04-2465-4936,卓良珍
財團法人中華基督教路加傳道會東部辦公室,台灣 - 台東縣,宣教福音,089-35-3977,
校園福音團契總部,台灣 - 台北市,宣教福音,02-2368-2361,莊逸宏 牧師
中區校園福音團契,台灣 - 台中市,宣教福音,04-2312-6486,張家瑋
台南校園福音團契,台灣 - 台南市,宣教福音,06-237-1055,滕有揚
屏東校園福音團契,台灣 - 屏東縣,宣教福音,08-737-5497,黃俊平
台東太平台福基督教會,台灣 - 台東縣,教會,"089-380-899, 0975-651-360",田榮輝 牧師
中華基督教浸信會中福教會,台灣 - 台東縣,教會,089-81-0550,邱雅各
台灣基督長老教會三民教會（東美）,台灣 - 台東縣,教會,089-854-022,張正勇 牧師
中華民國福音聯誼會,台灣 - 台北市,宣教福音,02-23054870,項劉佩君
財團法人中華基督教路加傳道會北部辦公室,台灣 - 台北市,宣教福音,02-2365-1190,董倫賢 牧師
財團法人中華基督教路加傳道會高雄辦公室,台灣 - 高雄市,宣教福音,07-588-3970,熊安安 傳道
中華海外宣道協會台北辦公室,台灣 - 新北市,宣教福音,02-8921-1023,宋先惠
新竹校園福音團契,台灣 - 新竹市,宣教福音,03-522-8950,田豐肇
雲嘉校園福音團契,台灣 - 嘉義市,宣教福音,05-271-8440,王菀姿
高雄校園福音團契,台灣 - 高雄市,宣教福音,07-235-6791,陳文弘
浸禮聖經會十股教會,台灣 - 台東縣,教會,089-23-7246,大角研
台灣基督長老教會崁頂教會（布中）,台灣 - 台東縣,教會,089-81-0209,宋銘金 牧師
台灣基督長老教會富興教會,台灣 - 台東縣,教會,089-86-1546,
美崙神召會,台灣 - 花蓮縣,教會,03-823-7723,黃再益
花蓮基督之家,台灣 - 花蓮縣,教會,03-822-8973,李仲文 傳道
台灣基督長老教會波拉旦教會,台灣 - 花蓮縣,教會,03-826-1776,鄭明德 牧師
台灣基督長老教會砂卡礑教會,台灣 - 花蓮縣,教會,03-861-1483,哈尤．尤道 牧師
社團法人台灣ＯＭ世界福音動員會,台灣 - 新北市,宣教福音,02-2620-3677,陳梅利 傳道
台灣彩虹婦女事工中心,台灣 - 台北市,社會關懷,02-23362055,許得賜
財團法人蒲公英希望基金會,台灣 - 台北市,書房出版,02-5582-8188,李加寶 女士
財團法人中華基督教台灣萬國兒童佈道團新竹支會,台灣 - 新竹市,社會關懷,03-571-4177,韓世馨 傳道
財團法人中華基督教台灣萬國兒童佈道團台南支會,台灣 - 台南市,社會關懷,06-226-8785,林美真 傳道
護士福音團契,台灣 - 台北市,宣教福音,02-23613012,彭瑞卿
達旺浸信會,台灣 - 台東縣,教會,089-783-763,劉正宏
宣道會花蓮堂,台灣 - 花蓮縣,教會,03-856-9007,劉路加 牧師
花蓮市基督的教會,台灣 - 花蓮縣,教會,03-836-2990,王永雄 傳道
台灣基督長老教會吾耀教會,台灣 - 花蓮縣,教會,03-826-9725,尤浦•西給 傳道師
中華基督徒專業人員信望愛社,台灣 - 台北市,教育訓練,02-2369-5257,孫志鴻
台灣基督徒社會服務協會,台灣 - 台北市,社會關懷,02-23512871,許長榮
財團法人台灣基督教福利會,台灣 - 台北市,社會關懷,02-2394-0297,游宗仁
財團法人中華基督教台灣萬國兒童佈道團台北支會,台灣 - 台北市,社會關懷,02-2632-5039；02-2632-5040,黃韞 老師
財團法人中華基督教台灣萬國兒童佈道團,台灣 - 台中市,社會關懷,04-2213-7693,唐匯宇 牧師
喜樂佈道會高雄支會,台灣 - 高雄市,社會關懷,07-5574730,蔡芠芠 傳道
中華基督長老會山宣總會和平教會,台灣 - 花蓮縣,教會,03-861-1980,杜珍惜
台灣神召會南昌教會,台灣 - 花蓮縣,教會,038-54-0681,高信明
花蓮佳音教會,台灣 - 花蓮縣,教會,03-851-3945,鐘天丁
台灣基督長老教會鎮平教會,台灣 - 花蓮縣,教會,03-870-0335,
台灣基督長老教會富興教會,台灣 - 花蓮縣,教會,03-881-1763,
台灣基督長老教會大馬園教會,台灣 - 花蓮縣,教會,03-887-0600,
台灣基督長老教會督旮薾教會,台灣 - 花蓮縣,教會,"03-885-1039, 03-885-1285",林山院 牧師
台灣基督長老教會思漥撒爾教會,台灣 - 花蓮縣,教會,03-884-1687,林慧玲 牧師
台灣基督長老教會達蘭埠教會,台灣 - 花蓮縣,教會,03-882-1089,張英妹 牧師
財團法人基督教真理文化傳播基金會,台灣 - 台北市,書房出版,02-2585-5340,李佩珊
國際祈禱院,台灣 - 花蓮縣,教會,03-861-0148,林韋
台灣基督長老教會歌柳教會,台灣 - 花蓮縣,教會,03-853-4553,林清三 傳道
主恩基督教會(花蓮),台灣 - 花蓮縣,教會,03-852-4483,江天順
台灣基督長老教會馬太鞍教會,台灣 - 花蓮縣,教會,03-870-1742,王傳祥 牧師
台灣基督長老教會帖撒羅教會,台灣 - 花蓮縣,教會,03-870-5095,吳仁德 牧師
台灣基督長老教會梧繞教會,台灣 - 花蓮縣,教會,03-887-5921,吳賜鴻 傳道師
台灣基督長老教會瑪谷達璦教會,台灣 - 花蓮縣,教會,03-885-1822,謝來逢 長老
協同會倫理堂,台灣 - 花蓮縣,教會,03-888-2814,劉偉民
台灣基督長老教會道賽教會,台灣 - 花蓮縣,教會,03-884-1677,林忠和 牧師
社團法人台北市基督教國際關懷協會,台灣 - 台北市,宣教福音,02-2393-1030,黃亮宇
社團法人中華華人福音普世差傳會,台灣 - 桃園市,宣教福音,03-339-6395,馬康偉 牧師
國際讀經會台灣總會,台灣 - 台北市,教育訓練,"02-2563-3524,02-2561-7777",王茂彩 姊妹
孩子街兒童佈道團,台灣 - 台北市,社會關懷,02-2542-6022,雷方蕊
財團法人基督教更生團契桃園區會,台灣 - 桃園市,宣教福音,03-363-1065,陳伯雄 牧師
財團法人基督教更生團契彰化區會,台灣 - 彰化縣,社會關懷,04-875-8779,劉敏哲
財團法人基督教更生團契台南區會,台灣 - 台南市,社會關懷,06-252-0570,莊景超
社團法人中華基督教救助協會桃竹苗辦事處,台灣 - 新竹市,社會關懷,03-572-1414,林金法
社團法人中華基督教救助協會花蓮辦事處,台灣 - 花蓮縣,社會關懷,03-823-9260,婁育誠
財團法人台北市失親兒福利基金會,台灣 - 台北市,社會關懷,02-2747-7555,黃寶慧
中華威克理夫翻譯會,台灣 - 台北市,宣教福音,02-2733-8803,馮家熙 弟兄
台北市基督環球傳道會,台灣 - 台北市,宗派中心,02-2568-2427,戴義勳 牧師
財團法人基督教福音證主協會,台灣 - 台北市,書房出版,02-2523-3100,黃小玲
中國神召會國際函授神學院,台灣 - 台北市,教育訓練,02-2511-1197,李雲
財團法人基督教更生團契,台灣 - 台北市,社會關懷,02-2536-8846,黃明鎮
財團法人基督教台中更生團契,台灣 - 台中市,宣教福音,04-2665-1790,董月春 牧師
城市之光教會,台灣 - 台北市,教會,02-2393-3700,李家忠 牧師
財團法人基督教更生團契高雄區會,台灣 - 高雄市,社會關懷,07-342-5691,吳螢鈴
社團法人中華基督教救助協會中區辦事處,台灣 - 台中市,社會關懷,04-2297-7590,蔣王峩
中華基督教聯合差傳事工促進會,台灣 - 台北市,宣教福音,02-2321-2915,楊承諺
財團法人和散那福音傳播基金會,台灣 - 台北市,傳播媒體,02-2713-1202,林瑾佳 牧師
培基文教基金會,台灣 - 台北市,教育訓練,02-2363-2584,陳寶國
中國學園傳道會南區辦公室,台灣 - 台南市,宣教福音,06-236-1510,甘利明
中華民國基督教全國禱告網絡協會,台灣 - 台北市,其他,02-2532-8379,潘劉玉霞 牧師
台灣工業福音團契新莊福音中心,台灣 - 新北市,其他,02-2992-8965,文巧屏
財團法人國度復興傳播基金會,台灣 - 台北市,傳播媒體,02-2367-3003,劉群茂 牧師
財團法人和撒那文化事業基金會,台灣 - 台北市,其他,02-2777-2560,章啟明
財團法人愛家文化事業基金會,台灣 - 台北市,社會關懷,02-2701-9971,余宗澤
財團法人禧年經濟倫理文教基金會,台灣 - 台北市,其他,02-2706-6006#122,陳定川
社團法人中華民國得勝者教育協會,台灣 - 台北市,社會關懷,02-8797-6131,洪英正
社團法人中華民國得勝者教育協會新竹辦公室,台灣 - 新竹市,社會關懷,03-534-4046,黎源悅
財團法人基督教耕耘會,台灣 - 台北市,宣教福音,"02-8780-3613, 02-8780-8806",關凱元
中國學園傳道會中區辦公室,台灣 - 台中市,宣教福音,"0922-943-310,0912-321-792",徐仲達
中國學園傳道會高屏區辦公室,台灣 - 高雄市,宣教福音,0912-242-525，0932-748-030,何惠敏
財團法人工業福音團契,台灣 - 台北市,宣教福音,02-2362-0657,蔡國山
台灣工業福音團契潭子福音中心,台灣 - 台中市,其他,04-2533-3303,陳淑英
財團法人孫大程佈道大會基金會,台灣 - 台北市,宣教福音,02-2776-3529,孫大程 博士
中華基督教安提阿國度事奉協會,台灣 - 台北市,宣教福音,02-2362-9713,巴柝聲 牧師
台灣真愛家庭協會,台灣 - 台北市,社會關懷,02-8732-8019,邱維超
社團法人中華民國更生少年關懷協會,台灣 - 台北市,社會關懷,02-2769-3258,楊碧芳
社團法人中華民國得勝者教育協會台北辦公室,台灣 - 台北市,社會關懷,02-2239-0325,楊琇瑤
社團法人中華民國得勝者教育協會台中辦公室,台灣 - 台中市,社會關懷,04-2298-0919,洪佳麗
社團法人中華民國得勝者教育協會台南辦公室,台灣 - 台南市,社會關懷,06-214-6911,李秀蘭
台灣基層福音差傳會,台灣 - 苗栗縣,宣教福音,037-56-3677,陳正雄
中華民國牧師協會,台灣 - 台北市,教育訓練,,郭玉植 牧師
財團法人台北市私立得榮社會福利基金會,台灣 - 台北市,社會關懷,02-8788-1930,林注進
中國福音會,台灣 - 台北市,宣教福音,02-2896-5713,于迦勒 牧師
中華民國榮光基督徒團契協會,台灣 - 台北市,其他,02-2457-6001,陳茂生
財團法人伊甸社會福利基金會基隆市身心障礙福利服務中心,台灣 - 基隆市,社會關懷,02-2466-2355,吳淑慈
衛生福利部社會及家庭署宜蘭教養院,台灣 - 宜蘭縣,社會關懷,03-957-5254,謝清桂
財團法人伊甸社會福利基金會桃園服務中心,台灣 - 桃園市,社會關懷,03-494-7341,莊贊靈
社團法人中華民國得勝者教育協會桃園辦公室,台灣 - 桃園市,社會關懷,03-339-3281,李永義
社團法人中華民國得勝者教育協會嘉義辦公室,台灣 - 嘉義市,社會關懷,05-225-8955,黃秋蓉
社團法人中華民國得勝者教育協會高雄辦公室,台灣 - 高雄市,社會關懷,07-285-2253,沈錦秀
中華民國基督教會協會,台灣 - 台北市,教會,02-2758-7543,李一華
台灣華人福音普傳會,台灣 - 台北市,宣教福音,02-29255564,陳章雄
台灣基督精兵協會,台灣 - 台北市,社會關懷,02-2837-8232,
飛颺青少年成長中心,台灣 - 台北市,宣教福音,02-2368-1244、02-2368-2361轉333、213、346~352,楊雯卿
財團法人伊甸社會福利基金會,台灣 - 台北市,社會關懷,02-2330-7715,黃琢嵩
財團法人伊甸社會福利基金會新北市三峽服務中心,台灣 - 新北市,社會關懷,02-2674-1778,吳淑芬
財團法人伊甸社會福利基金會新竹分事務所,台灣 - 新竹市,社會關懷,03-534-1078,
財團法人伊甸社會福利基金會台中市服務中心,台灣 - 台中市,社會關懷,04-2407-0195 ,
財團法人伊甸社會福利基金會高屏地區服務中心,台灣 - 高雄市,社會關懷,07-315-9666 分機11-18,林美專
逐家文字佈道會,台灣 - 基隆市,書房出版,02-2432-6770,柯從心
基督福音宣教團契,台灣 - 新北市,宣教福音,02-2925-5564,陳章雄
財團法人基督教台灣中國信徒佈道會,台灣 - 新北市,書房出版,02-8512-4242,簡春安
恩言善導文教基金會,台灣 - 新竹市,教育訓練,03-575-0448,李藍溪 宣教士
財團法人中國宣教使命團文化事業基金會,台灣 - 桃園市,宗派中心,03-427-7008,呂代豪
國際青年使命團台北辦公室,台灣 - 新北市,社會關懷,"02-2626-3026,02-2625-8892",紀多恩
國際青年使命團高雄辦公室,台灣 - 高雄市,社會關懷,07-652-2802,賀伯
基督教亞洲和平工作團協會,台灣 - 台中市,社會關懷,04-2221-1495,鄧文雄
財團法人伊甸社會福利基金會中彰地區服務中心,台灣 - 台中市,社會關懷,"04-2296-2696 #351,352",李瓊瑤 代區長
財團法人伊甸社會福利基金會雲嘉南地區服務中心,台灣 - 嘉義市,社會關懷,05-283-4275,
財團法人伊甸社會福利基金會台北市活泉之家,台灣 - 台北市,社會關懷,02-2230-6670＃6101、6102、6103,
少年基督徒野營會,台灣 - 新北市,社會關懷,02-2927-9316,金培華
財團法人台灣省台北縣中華基督教內地會,台灣 - 新北市,宣教福音,02-2240-1865,林應安 牧師
基督教生命之光青少年發展協會,台灣 - 宜蘭縣,社會關懷,03-9280691,簡適材
基督教客家福音協會,台灣 - 新竹縣,宣教福音,03-594-5546,白美月 牧師
國際青年使命團桃園辦公室,台灣 - 桃園市,教育訓練,03-334-6365,高紹霆
國際青年使命團台中辦公室,台灣 - 台中市,社會關懷,04-2391-1266,金銘國
基督教資料中心,台灣 - 台中市,其他,04-2205-2307,朱三才 牧師
社團法人台灣省基督教傳教士協會,台灣 - 台中市,教育訓練,04-2236-1901,
愛的呼聲福音傳播中心,台灣 - 台中市,傳播媒體,04-2232-0595,陳馬可
財團法人國際差傳協會,台灣 - 台中市,宣教福音,04-2422-0725,何馬可
基督教導航會總會,台灣 - 台中市,宣教福音,04-2631-3714,陳增韡
基督教導航會中壢聯絡處,台灣 - 桃園市,宣教福音,03-467-0213,林文進
基督教導航會台南聯絡處,台灣 - 台南市,宣教福音,06-235-6532,吳豐霖
財團法人基督教鄉村福音佈道團,台灣 - 台南市,宣教福音,06-235-8440,張國耀
財團法人基督磐石之家,台灣 - 台南市,教會,06-312-6747,黃敏吉
加利利宣教中心台南分部,台灣 - 台南市,其他,06-226-9597,陳坤生 牧師
台灣教會增長促進會,台灣 - 桃園市,教育訓練,03-453-3404,李基宏
台中市衛斯理關懷協談協會,台灣 - 台中市,社會關懷,04-3500-8006,曹佳瑋
社團法人台灣省基督徒社區工作協會,台灣 - 台中市,傳播媒體,0932-99-0113,林淑容
基督教黎明啟傳道會,台灣 - 台中市,宣教福音,04-22933196,羅弘德
基督教愛人如己關心會,台灣 - 台中市,宣教福音,04-2292-3251,畢雲霞
基督教導航會台北聯絡處,台灣 - 台北市,宣教福音,02-2363-3213,杜正夫
基督教導航會台中聯絡處,台灣 - 台中市,宣教福音,04-2631-5985,陳增韡
基督教榮光傳道會,台灣 - 台中市,宣教福音,04-26312164,許佩欽
中國民國亞洲人福音宣教會,台灣 - 台南市,宣教福音,06-2235450,張進吉
加利利宣教中心,台灣 - 台南市,其他,06-574-3941,陳坤生 牧師
台灣三元福音倍進佈道協會,台灣 - 台中市,教會,04-2233-2423,謝明昇
世界華人福音事工聯絡中心台灣南區委會,台灣 - 高雄市,宣教福音,07-2360236,黃明吉
百基拉宣教中心,台灣 - 高雄市,宣教福音,07-719-5943,羅英瑟
台北以諾書房,台灣 - 台北市,書房出版,02-2311-7240,李之僕
財團法人基督教論壇基金會,台灣 - 台北市,傳播媒體,02-2396-1010,鄭忠信
中國神召會出版社豐生主日學教材中心,台灣 - 台北市,書房出版,02-2563-2551,丁爾勁
今日華人教會雜誌,台灣 - 台北市,書房出版,02-2533-8082,膏雅惠
國際漢語聖經出版社有限公司,台灣 - 台北市,書房出版,02-2562-0038,沈志超
財團法人台灣聖經公會,台灣 - 新北市,書房出版,02-2664-9909,鄭正人 牧師
士林靈糧書房(以琳書房士林門市),台灣 - 台北市,書房出版,02-2883-4363,郭姵妏
以琳書房台北總門市,台灣 - 台北市,書房出版,02-2777-2560,黃聖志
高雄勞工福音中心,台灣 - 高雄市,宣教福音,07-3312480,莊東傑
弗州傳道協會基督徒教育中心,台灣 - 高雄市,教育訓練,07-3456150,盧彩芬
財團法人基督教蘭恩文教基金會,台灣 - 台東縣,教育訓練,089-732-073,蘇振泰
台灣福音書房,台灣 - 台北市,書房出版,02-2761-8530,吳有成
台灣環球聖經協會,台灣 - 新北市,書房出版,"02-8201-3368, 02-8201-0211",馬長生
大光傳播有限公司,台灣 - 台北市,傳播媒體,02-25628133,林三民
三一音樂出版社,台灣 - 台北市,書房出版,02-23960194,王桂珠
基督教榮神實業有限公司,台灣 - 新北市,書房出版,02-2645-2625,陳佩璇
靈糧書房和平店,台灣 - 台北市,書房出版,02-2363-2147,
得音有聲出版社,台灣 - 台北市,書房出版,02-23914573,蔡裕人
恩平書房,台灣 - 基隆市,書房出版,02-2425-4144,許華清
財團法人華人基督教文宣基金會,台灣 - 新北市,書房出版,02-86671657,李正一
校園書房出版社,台灣 - 新北市,書房出版,02-2918-2460,王文衍
活石出版社,台灣 - 新北市,書房出版,02-2621-4885,連易宗
佳音書坊,台灣 - 宜蘭縣,書房出版,03-954-1081,史可堯
校園書房新竹勝利店,台灣 - 新竹市,書房出版,03-575-2591,曹子瑾
桃園文宣書房,台灣 - 桃園市,書房出版,03-3354141,韋春蘭
靈泉書房,台灣 - 台中市,書房出版,04-2234-7762,
新樓書房台中分社,台灣 - 台中市,書房出版,04-2223-5801,楊育真
嘉義浸信會附設雅歌書房,台灣 - 嘉義市,書房出版,05-225-3853,曾君蘭
長老教會基督教教育中心,台灣 - 台北市,教育訓練,02-23620435,邱瓊苑
和散那文物供應社,台灣 - 新北市,書房出版,02-22513322,趙桔村
台灣基督教文藝出版有限公司,台灣 - 新北市,書房出版,02-86671657,李秀芹
永恩出版社,台灣 - 新北市,書房出版,02-2925-3630,周鴻章
淡水希望書坊,台灣 - 新北市,書房出版,02-2621-0777,黃敏蕙
錫安書坊,台灣 - 宜蘭縣,書房出版,03-9569356,林浩正
中壢橄欖書房,台灣 - 桃園市,書房出版,03-468-5181,林金秀
浸宣書房出版社,台灣 - 台中市,書房出版,04-2235-2532 *23or25,王子仁 牧師
百羊書房,台灣 - 台中市,書房出版,04-2702-0242、04-2702-1422,林忠義
員林主內書房,台灣 - 彰化縣,書房出版,04-833-1411,陳又慈
新樓書房,台灣 - 台南市,書房出版,06-2360731,楊玉芳
磐石書房,台灣 - 高雄市,書房出版,07-201-0414,黃麗雲
高雄信望愛書房,台灣 - 高雄市,書房出版,07-201-9888,劉明清
平安書房,台灣 - 高雄市,書房出版,07-311-3567,鮑靚靜
信望愛書房屏東店,台灣 - 屏東縣,書房出版,08-732-9100,黃虹綾
好地方書坊,台灣 - 台東縣,書房出版,089-33-8333,張金之
嗎哪書局,台灣 - 花蓮縣,書房出版,03-835-1694,劉明足
改革宗神學院,台灣 - 台北市,教育訓練,02-2718-1110,呂沛淵 牧師
台北國際神學研究院,台灣 - 台北市,教育訓練,02-23637822,鄭大和 牧師
台灣浸信會神學院,台灣 - 台北市,教育訓練,02-2723-9500、02-2720-7824、02-2720-3140,蔡瑞益
台灣教會公報社,台灣 - 台南市,書房出版,06-235-6277,方嵐亭 牧師
瑞瑪書房,台灣 - 台南市,書房出版,06-2650924,林良源
以諾書房,台灣 - 高雄市,書房出版,07-236-0318,李正榮
常春藤書房,台灣 - 高雄市,書房出版,07-272-6190,吳文雄
五餅二魚書房,台灣 - 高雄市,書房出版,07-786-8316,施俊華
人人書房,台灣 - 屏東縣,書房出版,08-737-5279、08-737-8441,蔡芳青
台東浸信會文字中心,台灣 - 台東縣,書房出版,089-32-4622,
台灣純福音靈山神學院,台灣 - 台北市,教育訓練,"02-2501-7478, 02-2517-1732",張漢業
台北真道聖經學院,台灣 - 台北市,教育訓練,02-2754-8711,廖文華 牧師
華北神學院,台灣 - 台北市,教育訓練,02-2736-4988,葉程義博士
中華基督教培靈神學院,台灣 - 台北市,教育訓練,02-2766-7924,陳章雄
台灣神學研究學院,台灣 - 台北市,教育訓練,02-2882-2370,陳尚仁
拿撒勒人會神學院,台灣 - 台北市,教育訓練,02-2858-3602,魏金華
錫安聖經學院台灣分院,台灣 - 基隆市,教育訓練,02-24650328,辜茂松
中華信義神學院,台灣 - 新竹市,教育訓練,03-571-0023,劉孝勇 牧師
財團法人基督教明道學院宣教會,台灣 - 苗栗縣,教育訓練,03-747-5910,王景星
基督教中國神召會神召神學院,台灣 - 台中市,教育訓練,"04-2389-1006,04-2382-0279",黃朝哲 牧師
台南神學院,台灣 - 台南市,教育訓練,06-237-1291,王崇堯
大使命神學院,台灣 - 高雄市,教育訓練,07-556-1175,黃崇泰
國際福聯神學研究院,台灣 - 台東縣,教育訓練,08-9320104,林明勇
國際宣教神學研究所,台灣 - 台北市,教育訓練,02-27632217,劉滿榮
台灣宣道神學院,台灣 - 新北市,教育訓練,02-2927-3020,胡偉騏 牧師
財團法人台灣基督教道生院 道生神學院,台灣 - 台北市,教育訓練,02-2896-0283,翁瑞亨
衛理神學研究院,台灣 - 台北市,教育訓練,02-8663-3488,林瑜琳
台灣基督長老教會聖經學院,台灣 - 新竹市,其他,03-521-7125,阮介民 牧師
客家宣教神學院,台灣 - 桃園市,教育訓練,03-411-6253,溫永生 牧師
喜信聖經學院,台灣 - 台中市,教育訓練,"04-2281-1047,04-2281-1084",張蕙淑
財團法人台灣浸信宣道會神學院,台灣 - 雲林縣,教育訓練,05-586-6164、05-586-8164,馮隆曦
中華循理會聖光神學院,台灣 - 高雄市,教育訓練,"07-953-7333,07-285-9203",陳吉松
中華浸禮聖經學院,台灣 - 高雄市,教育訓練,0925-503-133(盧姐妹),賀明恩 牧師
財團法人台灣省台北縣遠東福音會,台灣 - 台北市,傳播媒體,02-2365-2643,于厚恩 牧師
台灣歌仔戲班福音劇團,台灣 - 新北市,文化藝術,02-2989-5355,劉南芳
救世傳播協會,台灣 - 台北市,傳播媒體,02-2533-8082,洪善群
救世傳播協會大直門市,台灣 - 台北市,書房出版,02-2532-9841,
救世傳播協會新竹門市,台灣 - 新竹市,書房出版,03-571-7755,
救世傳播協會高雄分社,台灣 - 高雄市,書房出版,07-222-3838,
信義之聲電視廣播部,台灣 - 台北市,傳播媒體,02-2321-9647,趙良慧
得人電視傳播基金會,台灣 - 台北市,傳播媒體,02-23914573,蔡松煨
社團法人中華網魚福音傳播協會,台灣 - 新北市,傳播媒體,"02-2243-8497, 02-2243-0941",
財團法人基督教天聲傳播協會,台灣 - 台北市,傳播媒體,02-2322-3420,寇紹恩 牧師
玉山神學院,台灣 - 花蓮縣,教育訓練,03-864-1101,布興．大立
黑門山上的劇團,台灣 - 台北市,文化藝術,02-2891-9676,顏美珍
華影福音協會,台灣 - 台北市,傳播媒體,02-2591-5878,連鄭香蘭 牧師
救世傳播協會大安門市,台灣 - 台北市,書房出版,02-2351-8685,
救世傳播協會板橋門市,台灣 - 新北市,書房出版,02-8952-4080,
救世傳播協會台中門市,台灣 - 台中市,書房出版,04-2371-0136,
中國神召會靈風傳播中心,台灣 - 台北市,傳播媒體,02-2598-1009,李雲
得魚文化視聽傳播中心,台灣 - 台北市,傳播媒體,02-2391-4573,蔡裕人
財團法人佳音廣播電台,台灣 - 台北市,傳播媒體,02-2369-9050,呂思瑜
好消息電視台,台灣 - 新北市,傳播媒體,02-8024-3911,周神安
中華民國台灣基督教信義會廣播中心,台灣 - 屏東縣,傳播媒體,08-788-2464,許逸錦
生命河詩歌團,台灣 - 台北市,文化藝術,02-23512871,許長榮
財團法人讚美之泉文化事業基金會,台灣 - 台北市,文化藝術,02-3765-2677,張美鷨
加給您聖樂合唱團,台灣 - 高雄市,文化藝術,07-747-3146,楊兆金 團長
台灣世界展望會台北寄養家庭服務中心,台灣 - 台北市,社會關懷,02-2585-1195,蘇麗華
台灣世界展望會中區辦事處暨資源發展處中區辦公室,台灣 - 台中市,社會關懷,04-2375-1262,全國成
台灣世界展望會東區辦事處暨資源發展處東區辦公室,台灣 - 花蓮縣,社會關懷,03-823-6868,陳維智
國際基督徒工商人員協會中華民國總會,台灣 - 台北市,宣教福音,02-2567-7469,千文元
中華民國基督教全備福音從業人員協會新竹分會,台灣 - 新竹市,其他,03-5645150,陳秋月
中華民國基督教全備福音從業人員協會台中分會,台灣 - 台中市,其他,04-2315-4410,機惠碧
基督教環球廣播事工協會,台灣 - 高雄市,傳播媒體,07-281-5882,林宗誼牧師
主恩合唱團,台灣 - 台北市,文化藝術,02-23916329,蔡裕人
中華民國聖樂促進會,台灣 - 台北市,文化藝術,02-2591-5878,連鄭香蘭 牧師
號角福音綜合藝術團,台灣 - 新北市,文化藝術,02-26668598,黃小冬
