醫療機構名稱,地址,電話,垂直整合策略聯盟/主責醫事機構,終止合約或歇業日期
喜悅牙醫診所,台北市內湖區內湖路1段248號2樓,02-26560580,新光醫院共好醫療合作團隊/新光醫療財團法人新光吳火獅紀念醫院,
藍曾小兒科診所,台北市內湖區東湖路132號,02-26335225,新光醫院共好醫療合作團隊/新光醫療財團法人新光吳火獅紀念醫院,
大眾牙醫診所,台北市北投區中央北路2段60號1樓,02-28928313,新光醫院共好醫療合作團隊/新光醫療財團法人新光吳火獅紀念醫院,
張晉豪診所,台北市北投區中央南路1段155號,02-2891-3820,新光醫院共好醫療合作團隊/新光醫療財團法人新光吳火獅紀念醫院,
中和牙醫診所,台北市北投區中和街283號2樓,02-28942377,新光醫院共好醫療合作團隊/新光醫療財團法人新光吳火獅紀念醫院,
昱新眼科診所,台北市北投區光明路104號1樓,02-28919380,新光醫院共好醫療合作團隊/新光醫療財團法人新光吳火獅紀念醫院,
喜美牙醫診所,台北市北投區西安街1段353號,02-28225171,新光醫院共好醫療合作團隊/新光醫療財團法人新光吳火獅紀念醫院,
張德成小兒科內科診所,桃園市桃園區長美里中山路98號,03-3320025,新光醫院共好醫療合作團隊/新光醫療財團法人新光吳火獅紀念醫院,
醫療財團法人臺灣區煤礦業基金會臺灣礦工醫院,基隆市暖暖區源遠路29號,02-24579101,新光醫院共好醫療合作團隊/新光醫療財團法人新光吳火獅紀念醫院,
三芝彭小兒科診所,新北市三芝區埔頭里中山路一段59號1樓,02-26369622,新光醫院共好醫療合作團隊/新光醫療財團法人新光吳火獅紀念醫院,
康全診所,新北市三重區三和路4段111之32號9樓,02-22878099,新光醫院共好醫療合作團隊/新光醫療財團法人新光吳火獅紀念醫院,
靜明眼科診所,新北市三重區三和路4段153－2號1樓,02-22803383,新光醫院共好醫療合作團隊/新光醫療財團法人新光吳火獅紀念醫院,
蘇炫明外科診所,新北市三重區三和路4段161號,02-22876338,新光醫院共好醫療合作團隊/新光醫療財團法人新光吳火獅紀念醫院,
侯外科診所,新北市三重區三和路4段260號、264巷2弄2號,02-22866025,新光醫院共好醫療合作團隊/新光醫療財團法人新光吳火獅紀念醫院,
生安診所,新北市三重區大智街246號1樓,02-29890553,新光醫院共好醫療合作團隊/新光醫療財團法人新光吳火獅紀念醫院,
仁新小兒科診所,新北市三重區仁愛街735號,02-28574762,新光醫院共好醫療合作團隊/新光醫療財團法人新光吳火獅紀念醫院,
聯合牙醫診所,新北市三重區正義北路103號,02-29894449,新光醫院共好醫療合作團隊/新光醫療財團法人新光吳火獅紀念醫院,
美麗心成人兒童精神科診所,新北市三重區正義北路210號1樓,02-29886773,新光醫院共好醫療合作團隊/新光醫療財團法人新光吳火獅紀念醫院,
林偉欣眼科診所,新北市三重區正義北路366號1樓及366－1號1、2樓,02-29896272,新光醫院共好醫療合作團隊/新光醫療財團法人新光吳火獅紀念醫院,
丁婦產科診所,新北市三重區自強路1段246號1－4樓,02-29858001,新光醫院共好醫療合作團隊/新光醫療財團法人新光吳火獅紀念醫院,
江村聯合診所,新北市三重區重新路3段7號1－4樓及9號2－4樓,02-29821515,新光醫院共好醫療合作團隊/新光醫療財團法人新光吳火獅紀念醫院,
重仁診所,新北市三重區重新路5段592號1樓,02-29958283,新光醫院共好醫療合作團隊/新光醫療財團法人新光吳火獅紀念醫院,
黃啟銘復健科診所,新北市三重區集勇街21號1樓,02-82873535,新光醫院共好醫療合作團隊/新光醫療財團法人新光吳火獅紀念醫院,
盈仁牙醫診所,新北市板橋區中正路278號,02-29653066,新光醫院共好醫療合作團隊/新光醫療財團法人新光吳火獅紀念醫院,
?品牙醫診所,新北市板橋區實踐路193、195號1樓,02-29552455,新光醫院共好醫療合作團隊/新光醫療財團法人新光吳火獅紀念醫院,
李文旭內科診所,新北市淡水區中正東路45－1號,02-26255299,新光醫院共好醫療合作團隊/新光醫療財團法人新光吳火獅紀念醫院,
新偕牙醫診所,新北市淡水區北新路123號1樓,02-26202071,新光醫院共好醫療合作團隊/新光醫療財團法人新光吳火獅紀念醫院,
公祥醫院,新北市淡水區英專路21巷25、27號、中山路38、40號,02-26217638,新光醫院共好醫療合作團隊/新光醫療財團法人新光吳火獅紀念醫院,
卓訓德診所,新北市淡水區新市一路3段36號,02-26202022,新光醫院共好醫療合作團隊/新光醫療財團法人新光吳火獅紀念醫院,
大方診所,新北市新莊區中平路89號1樓,02-29938881,新光醫院共好醫療合作團隊/新光醫療財團法人新光吳火獅紀念醫院,
英群骨科診所,新北市新莊區中安街7－2號1、2樓,02-29921159,新光醫院共好醫療合作團隊/新光醫療財團法人新光吳火獅紀念醫院,
錦興皮膚科診所,新北市新莊區建安里民安路201號2樓,02-22032680,新光醫院共好醫療合作團隊/新光醫療財團法人新光吳火獅紀念醫院,
璟順骨科診所,新北市新莊區復興路2段131號1樓、135號1樓,02-22760330,新光醫院共好醫療合作團隊/新光醫療財團法人新光吳火獅紀念醫院,
林金龍小兒科診所,新北市新莊區新泰路251號1樓,02-29978377,新光醫院共好醫療合作團隊/新光醫療財團法人新光吳火獅紀念醫院,
大誠牙醫診所,新北市蘆洲區三民路3號1樓、2樓,02-22817969,新光醫院共好醫療合作團隊/新光醫療財團法人新光吳火獅紀念醫院,
啟安婦產科家庭醫學科診所,新北市蘆洲區中山二路111號1樓,02-22826085,新光醫院共好醫療合作團隊/新光醫療財團法人新光吳火獅紀念醫院,
人安診所,新北市蘆洲區民權路133號1樓,02-22881661,新光醫院共好醫療合作團隊/新光醫療財團法人新光吳火獅紀念醫院,
蔡嘉哲骨科診所,新北市蘆洲區長安街124號1樓,02-82850058,新光醫院共好醫療合作團隊/新光醫療財團法人新光吳火獅紀念醫院,
宥宥小兒科診所,新北市蘆洲區長榮路175號1樓,02-22898555,新光醫院共好醫療合作團隊/新光醫療財團法人新光吳火獅紀念醫院,
集賢內科診所,新北市蘆洲區集賢路356號1、2、3樓358號2、3樓,02-22886720,新光醫院共好醫療合作團隊/新光醫療財團法人新光吳火獅紀念醫院,
謝小兒科診所,台北市內湖區東湖路147號2樓,02-26334535,三軍總醫院策略聯盟/三軍總醫院附設民眾診療服務處林口長庚紀念醫院雁行團隊/長庚醫療財團法人林口長庚紀念醫院,
林永正診所,台北市內湖區康樂街130號,02-26315567,三軍總醫院策略聯盟/三軍總醫院附設民眾診療服務處林口長庚紀念醫院雁行團隊/長庚醫療財團法人林口長庚紀念醫院,
慧禮診所,新北市中和區自立路159號1樓,02-89421028,三軍總醫院策略聯盟/三軍總醫院附設民眾診療服務處雙和醫院分級醫療雙向轉診共好合作聯盟/衛生福利部雙和醫院〈委託臺北醫學大學興建經營〉,
翰霖耳鼻喉科診所,新北市中和區景安路202號,02-22462238,三軍總醫院策略聯盟/三軍總醫院附設民眾診療服務處雙和醫院分級醫療雙向轉診共好合作聯盟/衛生福利部雙和醫院〈委託臺北醫學大學興建經營〉,
快樂小兒科診所,新北市中和區景安路215號1樓,02-89432999,三軍總醫院策略聯盟/三軍總醫院附設民眾診療服務處雙和醫院分級醫療雙向轉診共好合作聯盟/衛生福利部雙和醫院〈委託臺北醫學大學興建經營〉,
泰祥婦產科診所,新北市永和區中和路337號、337之1號、337號2樓,02-22329297,三軍總醫院策略聯盟/三軍總醫院附設民眾診療服務處雙和醫院分級醫療雙向轉診共好合作聯盟/衛生福利部雙和醫院〈委託臺北醫學大學興建經營〉,
愛兒小兒科診所,新北市永和區福和路199號,02-29233317,三軍總醫院策略聯盟/三軍總醫院附設民眾診療服務處雙和醫院分級醫療雙向轉診共好合作聯盟/衛生福利部雙和醫院〈委託臺北醫學大學興建經營〉,
良佳診所,新北市中和區中正路632號1樓,02-22239162,三軍總醫院策略聯盟/三軍總醫院附設民眾診療服務處亞東共好醫療聯盟/醫療財團法人徐元智先生醫藥基金會亞東紀念醫院雙和醫院分級醫療雙向轉診共好合作聯盟/衛生福利部雙和醫院〈委託臺北醫學大學興建經營〉,
戴良恭診所,新北市永和區中正路237號1－2樓,02-29499482,三軍總醫院策略聯盟/三軍總醫院附設民眾診療服務處亞東共好醫療聯盟/醫療財團法人徐元智先生醫藥基金會亞東紀念醫院雙和醫院分級醫療雙向轉診共好合作聯盟/衛生福利部雙和醫院〈委託臺北醫學大學興建經營〉,
祥顥醫院,新北市中和區景平路412、412之1號1至5樓,02-29468795,三軍總醫院策略聯盟/三軍總醫院附設民眾診療服務處亞東共好醫療聯盟/醫療財團法人徐元智先生醫藥基金會亞東紀念醫院,
李宜霖診所,台北市內湖區內湖路1段300號2樓、2樓之1、296號2樓,02-26582669,三軍總醫院策略聯盟/三軍總醫院附設民眾診療服務處智鏈北醫共好聯盟/臺北醫學大學附設醫院林口長庚紀念醫院雁行團隊/長庚醫療財團法人林口長庚紀念醫院,
文德耳鼻喉科診所,台北市內湖區文德路32號,02-87971942,三軍總醫院策略聯盟/三軍總醫院附設民眾診療服務處智鏈北醫共好聯盟/臺北醫學大學附設醫院,
劉淦華診所,台北市內湖區金龍路43號1樓,02-27905374,三軍總醫院策略聯盟/三軍總醫院附設民眾診療服務處智鏈北醫共好聯盟/臺北醫學大學附設醫院,
永吉羅耳鼻喉科診所,台北市信義區永吉路272號,02-27656079,三軍總醫院策略聯盟/三軍總醫院附設民眾診療服務處智鏈北醫共好聯盟/臺北醫學大學附設醫院,
林應然小兒科診所,台北市信義區福德街75號,02-27595328,三軍總醫院策略聯盟/三軍總醫院附設民眾診療服務處智鏈北醫共好聯盟/臺北醫學大學附設醫院,
黃家庭醫學科診所,台北市南港區研究院路1段161號,02-27820908,三軍總醫院策略聯盟/三軍總醫院附設民眾診療服務處智鏈北醫共好聯盟/臺北醫學大學附設醫院,
新北市汐止區衛生所,新北市汐止區新台五路1段266號地下1樓．地上1至4樓,02-26412030,三軍總醫院策略聯盟/三軍總醫院附設民眾診療服務處智鏈北醫共好聯盟/臺北醫學大學附設醫院,
馨生婦產科小兒科診所,新北市汐止區福德二路215號1樓、215之1號1樓,02-26927666,三軍總醫院策略聯盟/三軍總醫院附設民眾診療服務處智鏈北醫共好聯盟/臺北醫學大學附設醫院,
祐雙診所,台北市大同區民生西路138號2樓,02-25597277,三軍總醫院策略聯盟/三軍總醫院附設民眾診療服務處,
陳澄宏眼科診所,台北市大同區寧夏路24－6號,02-25585133,三軍總醫院策略聯盟/三軍總醫院附設民眾診療服務處,
啟誠聯合診所,台北市大安區和平東路2段120號1．2．3，4樓,02-23784380,三軍總醫院策略聯盟/三軍總醫院附設民眾診療服務處,
皇家診所,台北市大安區羅斯福路3段227號10樓,02-23691450,三軍總醫院策略聯盟/三軍總醫院附設民眾診療服務處,
愛鄰診所,台北市中山區北安路520－1號,02-25322333,三軍總醫院策略聯盟/三軍總醫院附設民眾診療服務處,
紹毅內兒科診所,台北市中正區八德路1段50．52號,02-23930080,三軍總醫院策略聯盟/三軍總醫院附設民眾診療服務處,
慈銨診所,台北市內湖區五分街95號1樓,02-26313684,三軍總醫院策略聯盟/三軍總醫院附設民眾診療服務處,
育睿診所,台北市內湖區內湖路1段217巷35號,02-26560801,三軍總醫院策略聯盟/三軍總醫院附設民眾診療服務處,
陳喬鴻眼科診所,台北市內湖區內湖路1段300號3樓－2、3樓－3,02-87515125,三軍總醫院策略聯盟/三軍總醫院附設民眾診療服務處,
榮欣骨科診所,台北市內湖區內湖路1段617號1樓、2樓,02-26279155,三軍總醫院策略聯盟/三軍總醫院附設民眾診療服務處,
連安診所,台北市內湖區內湖路1段619號及619號2樓,02-26276705,三軍總醫院策略聯盟/三軍總醫院附設民眾診療服務處,
焉醫師診所,台北市內湖區內湖路2段21號,02-27995008,三軍總醫院策略聯盟/三軍總醫院附設民眾診療服務處,
立安診所,台北市內湖區內湖路2段365號1樓,02-27933632,三軍總醫院策略聯盟/三軍總醫院附設民眾診療服務處,
陳德駿婦產科診所,台北市內湖區文德路8號2樓,02-27974455,三軍總醫院策略聯盟/三軍總醫院附設民眾診療服務處,
林登山耳鼻喉科診所,台北市內湖區文德路96號,02-26596638,三軍總醫院策略聯盟/三軍總醫院附設民眾診療服務處,
心力合診所,台北市內湖區民權東路6段165、167、169、171號,02-27913169,三軍總醫院策略聯盟/三軍總醫院附設民眾診療服務處,
東成診所,台北市內湖區民權東路6段495號2樓之1、之2、495號4樓,02-26316850,三軍總醫院策略聯盟/三軍總醫院附設民眾診療服務處,
夏一新身心精神科診所,台北市內湖區成功路3段143號4樓,02-87928213,三軍總醫院策略聯盟/三軍總醫院附設民眾診療服務處,
內湖翰林眼科診所,台北市內湖區成功路3段183號2樓,02-87922296,三軍總醫院策略聯盟/三軍總醫院附設民眾診療服務處,
康育診所,台北市內湖區成功路3段189號2樓,02-27909134,三軍總醫院策略聯盟/三軍總醫院附設民眾診療服務處,
振興內兒科診所,台北市內湖區成功路3段193號,02-27906179,三軍總醫院策略聯盟/三軍總醫院附設民眾診療服務處,
洪永祥診所,台北市內湖區成功路3段6巷1號、1號2樓,02-87917601,三軍總醫院策略聯盟/三軍總醫院附設民眾診療服務處,
成功皮膚科診所,台北市內湖區成功路4段12號2樓3樓4樓、16號,02-27938566,三軍總醫院策略聯盟/三軍總醫院附設民眾診療服務處,
達美皮膚專科診所,台北市內湖區成功路4段220號1樓2樓,02-27920218,三軍總醫院策略聯盟/三軍總醫院附設民眾診療服務處,
顏鳳麟婦產科診所,台北市內湖區成功路4段28號2樓,02-87929756,三軍總醫院策略聯盟/三軍總醫院附設民眾診療服務處,
吳振光眼科診所,台北市內湖區成功路4段42號3樓5樓,02-27925399,三軍總醫院策略聯盟/三軍總醫院附設民眾診療服務處,
林孟勳診所,台北市內湖區成功路4段61巷32弄2號1樓,02-87920955,三軍總醫院策略聯盟/三軍總醫院附設民眾診療服務處,
日新診所,台北市內湖區成功路5段446號1樓,02-26342743,三軍總醫院策略聯盟/三軍總醫院附設民眾診療服務處,
丁大元診所,台北市內湖區東湖路119巷49弄4號1樓,02-26331010,三軍總醫院策略聯盟/三軍總醫院附設民眾診療服務處,
大愛眼科診所,台北市內湖區東湖路15號1樓,02-26312338,三軍總醫院策略聯盟/三軍總醫院附設民眾診療服務處,
詠盛診所,台北市內湖區東湖路43巷3號,02-26318758,三軍總醫院策略聯盟/三軍總醫院附設民眾診療服務處,
靳惠里診所,台北市內湖區東湖路43巷9號,02-26322778,三軍總醫院策略聯盟/三軍總醫院附設民眾診療服務處,
東湖內兒科診所,台北市內湖區東湖路4號,02-26310709,三軍總醫院策略聯盟/三軍總醫院附設民眾診療服務處,
鍾兆智婦產科診所,台北市內湖區東湖路65號1樓、2樓、地下室,02-26330357,三軍總醫院策略聯盟/三軍總醫院附設民眾診療服務處,
施耳鼻喉科診所,台北市內湖區東湖路90號2樓,02-26331018,三軍總醫院策略聯盟/三軍總醫院附設民眾診療服務處,
雙湖診所,台北市內湖區金龍路49號1樓,02-27910066,三軍總醫院策略聯盟/三軍總醫院附設民眾診療服務處,
康寧診所,台北市內湖區康寧路1段144號1樓,02-87910214,三軍總醫院策略聯盟/三軍總醫院附設民眾診療服務處,
魏之明小兒科診所,台北市內湖區康寧路3段54之6號1樓,02-26306968,三軍總醫院策略聯盟/三軍總醫院附設民眾診療服務處,
赫得診所,台北市內湖區康樂街72巷17弄6號,02-26334031,三軍總醫院策略聯盟/三軍總醫院附設民眾診療服務處,
康研診所,台北市內湖區堤頂大道2段409號,02-26577257,三軍總醫院策略聯盟/三軍總醫院附設民眾診療服務處,
王慶森診所,台北市內湖區港墘路65號,02-27986052,三軍總醫院策略聯盟/三軍總醫院附設民眾診療服務處,
康為恭診所,台北市內湖區港墘路73號,02-26587676,三軍總醫院策略聯盟/三軍總醫院附設民眾診療服務處,
全心圓診所,台北市內湖區瑞光路26巷36弄2號3樓及2之1號3樓,02-27909966,三軍總醫院策略聯盟/三軍總醫院附設民眾診療服務處,
傳芳婦產科診所,台北市松山區八德路4段659號．661號1．2樓,02-27631678,三軍總醫院策略聯盟/三軍總醫院附設民眾診療服務處,
澄東耳鼻喉科診所,台北市松山區三民路37號,02-27420552,三軍總醫院策略聯盟/三軍總醫院附設民眾診療服務處,
弘光耳鼻喉科診所,台北市松山區民生東路4段117號,02-27181177,三軍總醫院策略聯盟/三軍總醫院附設民眾診療服務處,
王俊彰耳鼻喉科診所,台北市松山區民生東路5段17號,02-27665698,三軍總醫院策略聯盟/三軍總醫院附設民眾診療服務處,
馮子強診所,台北市松山區民權東路3段160巷7號,02-87120622,三軍總醫院策略聯盟/三軍總醫院附設民眾診療服務處,
陳炳堅內科診所,台北市松山區延壽街327號,02-27637199,三軍總醫院策略聯盟/三軍總醫院附設民眾診療服務處,
何兆芬健康診所,台北市松山區南京東路4段47號2樓,02-25451611,三軍總醫院策略聯盟/三軍總醫院附設民眾診療服務處,
榮恩耳鼻喉科小兒科聯合診所,台北市松山區南京東路5段258號,02-27688749,三軍總醫院策略聯盟/三軍總醫院附設民眾診療服務處,
松山大愛眼科診所,台北市松山區南京東路5段269號1、2、3樓,02-87875616,三軍總醫院策略聯盟/三軍總醫院附設民眾診療服務處,
蔡恭禮內兒科診所,台北市松山區新東街28號之2,02-27600208,三軍總醫院策略聯盟/三軍總醫院附設民眾診療服務處,
伯特利身心診所,台北市信義區光復南路421號2樓,02-27200938,三軍總醫院策略聯盟/三軍總醫院附設民眾診療服務處,
黎明眼科診所,台北市信義區忠孝東路5段135號7樓,02-27625333,三軍總醫院策略聯盟/三軍總醫院附設民眾診療服務處,
蔣小兒科診所,台北市南港區玉成街166巷30號1樓,02-26515960,三軍總醫院策略聯盟/三軍總醫院附設民眾診療服務處,
天仁小兒科診所,台北市南港區成福路21號,02-27862687,三軍總醫院策略聯盟/三軍總醫院附設民眾診療服務處,
廖內兒科診所,台北市南港區忠孝東路7段617號,02-27832776,三軍總醫院策略聯盟/三軍總醫院附設民眾診療服務處,
吳復健科診所,台北市南港區南港路1段172號1－2樓,02-26535856,三軍總醫院策略聯盟/三軍總醫院附設民眾診療服務處,
樺昌耳鼻喉科診所,台北市萬華區中華路2段524號,02-23091791,三軍總醫院策略聯盟/三軍總醫院附設民眾診療服務處,
家和診所,新北市中和區員山路192號1樓,02-22239032,三軍總醫院策略聯盟/三軍總醫院附設民眾診療服務處,
吳銅坤婦產科診所,新北市永和區中山路1段35號.31號2．3樓之1,02-29271313,三軍總醫院策略聯盟/三軍總醫院附設民眾診療服務處,
國平耳鼻喉科診所,新北市永和區永貞路376號,02-89233980,三軍總醫院策略聯盟/三軍總醫院附設民眾診療服務處,
黃柏榮耳鼻喉科診所,新北市永和區林森路47號,02-29229891,三軍總醫院策略聯盟/三軍總醫院附設民眾診療服務處,
張潤德小兒科診所,新北市永和區得和路122號,02-29421252,三軍總醫院策略聯盟/三軍總醫院附設民眾診療服務處,
高登眼科診所,新北市汐止區大同路2段282號2樓,02-26493939,三軍總醫院策略聯盟/三軍總醫院附設民眾診療服務處,
佑安診所,新北市汐止區大同路2段370號1樓,02-26488781,三軍總醫院策略聯盟/三軍總醫院附設民眾診療服務處,
合康診所,新北市汐止區大同路2段512號1樓,02-86425222,三軍總醫院策略聯盟/三軍總醫院附設民眾診療服務處,
福德診所,新北市汐止區中興里福德二路171號,02-26959877,三軍總醫院策略聯盟/三軍總醫院附設民眾診療服務處,
皓明眼科診所,新北市汐止區中興路199號1樓,02-26923088,三軍總醫院策略聯盟/三軍總醫院附設民眾診療服務處,
彭耳鼻喉專科診所,新北市汐止區中興路226號,02-86932293,三軍總醫院策略聯盟/三軍總醫院附設民眾診療服務處,
三益診所,新北市汐止區仁愛路187號1樓,02-86915631,三軍總醫院策略聯盟/三軍總醫院附設民眾診療服務處,
佳祥診所,新北市汐止區民族三街7號1樓,02-26954806,三軍總醫院策略聯盟/三軍總醫院附設民眾診療服務處,
楊內科小兒科診所,新北市汐止區汐萬路1段25號,02-26420233,三軍總醫院策略聯盟/三軍總醫院附設民眾診療服務處,
汐止長青診所,新北市汐止區秀峰路68號1樓,02-26485156,三軍總醫院策略聯盟/三軍總醫院附設民眾診療服務處,
體生診所,新北市汐止區和平街103、105號,02-26412427,三軍總醫院策略聯盟/三軍總醫院附設民眾診療服務處,
鄭漢財耳鼻喉科診所,新北市汐止區忠孝東路239號2樓,02-26430362,三軍總醫院策略聯盟/三軍總醫院附設民眾診療服務處,
鴻海診所,新北市汐止區忠孝東路317號1樓,02-26431777,三軍總醫院策略聯盟/三軍總醫院附設民眾診療服務處,
李懷德小兒科診所,新北市汐止區忠孝東路343號,02-86478323,三軍總醫院策略聯盟/三軍總醫院附設民眾診療服務處,
祥和診所,新北市汐止區建成路37巷13號,02-86422558,三軍總醫院策略聯盟/三軍總醫院附設民眾診療服務處,
康寧耳鼻喉科診所,新北市汐止區康寧街386號1樓,02-26926905,三軍總醫院策略聯盟/三軍總醫院附設民眾診療服務處,
佳林皮膚科診所,新北市汐止區康寧街388號1樓,02-26955266,三軍總醫院策略聯盟/三軍總醫院附設民眾診療服務處,
青山診所,新北市汐止區莊敬街129號1樓,02-26907959,三軍總醫院策略聯盟/三軍總醫院附設民眾診療服務處,
美連心診所,新北市汐止區連興街60號1樓,02-26487391,三軍總醫院策略聯盟/三軍總醫院附設民眾診療服務處,
陳正恆小兒科診所,新北市汐止區福德一路220號1樓,02-86931716,三軍總醫院策略聯盟/三軍總醫院附設民眾診療服務處,
弘人小兒科診所,新北市汐止區福德二路152號1樓,02-26932439,三軍總醫院策略聯盟/三軍總醫院附設民眾診療服務處,
新北市貢寮區衛生所,新北市貢寮區朝陽街70巷10號、新北市貢寮區仁愛路128號,02-24901431,三軍總醫院策略聯盟/三軍總醫院附設民眾診療服務處,
新北市雙溪區衛生所,新北市雙溪區新基南路18號,02-24931211,三軍總醫院策略聯盟/三軍總醫院附設民眾診療服務處,
奕賢骨科外科診所,臺北市南港區八德路四段774、776號,02-27838192,三軍總醫院策略聯盟/三軍總醫院附設民眾診療服務處,
台灣基督長老教會馬偕醫療財團法人淡水馬偕紀念醫院,新北市淡水區民生路45號、民權路47號B1至10樓,02-28094661,馬偕共好醫療照護合作團隊/台灣基督長老教會馬偕醫療財團法人馬偕紀念醫院馬偕共好醫療照護合作團隊/台灣基督長老教會馬偕醫療財團法人馬偕兒童醫院馬偕共好醫療照護合作團隊/台灣基督長老教會馬偕醫療財團法人淡水馬偕紀念醫院彰化基督教醫院合作聯盟/彰化基督教醫療財團法人彰化基督教醫院,
新北市泰山區衛生所,新北市泰山區全興路212號3樓,02-22962858,馬偕共好醫療照護合作團隊/台灣基督長老教會馬偕醫療財團法人馬偕紀念醫院馬偕共好醫療照護合作團隊/台灣基督長老教會馬偕醫療財團法人馬偕兒童醫院馬偕共好醫療照護合作團隊/台灣基督長老教會馬偕醫療財團法人淡水馬偕紀念醫院林口長庚紀念醫院雁行團隊/長庚醫療財團法人林口長庚紀念醫院彰化基督教醫院合作聯盟/彰化基督教醫療財團法人彰化基督教醫院,
三民家庭醫學科診所,新北市三重區三民街83號,02-29840686,馬偕共好醫療照護合作團隊/台灣基督長老教會馬偕醫療財團法人馬偕紀念醫院馬偕共好醫療照護合作團隊/台灣基督長老教會馬偕醫療財團法人馬偕兒童醫院馬偕共好醫療照護合作團隊/台灣基督長老教會馬偕醫療財團法人淡水馬偕紀念醫院林口長庚紀念醫院雁行團隊/長庚醫療財團法人林口長庚紀念醫院,
三重華泰診所,新北市三重區五華街176號1樓,02-28577688,馬偕共好醫療照護合作團隊/台灣基督長老教會馬偕醫療財團法人馬偕紀念醫院馬偕共好醫療照護合作團隊/台灣基督長老教會馬偕醫療財團法人馬偕兒童醫院馬偕共好醫療照護合作團隊/台灣基督長老教會馬偕醫療財團法人淡水馬偕紀念醫院林口長庚紀念醫院雁行團隊/長庚醫療財團法人林口長庚紀念醫院,
采新婦幼診所,新北市三重區正義北路86號1－6樓,02-89853888,馬偕共好醫療照護合作團隊/台灣基督長老教會馬偕醫療財團法人馬偕紀念醫院馬偕共好醫療照護合作團隊/台灣基督長老教會馬偕醫療財團法人馬偕兒童醫院馬偕共好醫療照護合作團隊/台灣基督長老教會馬偕醫療財團法人淡水馬偕紀念醫院林口長庚紀念醫院雁行團隊/長庚醫療財團法人林口長庚紀念醫院,
慈田診所,新北市三重區長榮路6號1樓,02-29780168,馬偕共好醫療照護合作團隊/台灣基督長老教會馬偕醫療財團法人馬偕紀念醫院馬偕共好醫療照護合作團隊/台灣基督長老教會馬偕醫療財團法人馬偕兒童醫院馬偕共好醫療照護合作團隊/台灣基督長老教會馬偕醫療財團法人淡水馬偕紀念醫院林口長庚紀念醫院雁行團隊/長庚醫療財團法人林口長庚紀念醫院,
博聖診所,新北市土城區立德路66、68號1樓,02-22622331,馬偕共好醫療照護合作團隊/台灣基督長老教會馬偕醫療財團法人馬偕紀念醫院馬偕共好醫療照護合作團隊/台灣基督長老教會馬偕醫療財團法人馬偕兒童醫院馬偕共好醫療照護合作團隊/台灣基督長老教會馬偕醫療財團法人淡水馬偕紀念醫院林口長庚紀念醫院雁行團隊/長庚醫療財團法人林口長庚紀念醫院,
博勝診所,新北市土城區立德路66、68號1樓,02-22622331,馬偕共好醫療照護合作團隊/台灣基督長老教會馬偕醫療財團法人馬偕紀念醫院馬偕共好醫療照護合作團隊/台灣基督長老教會馬偕醫療財團法人馬偕兒童醫院馬偕共好醫療照護合作團隊/台灣基督長老教會馬偕醫療財團法人淡水馬偕紀念醫院林口長庚紀念醫院雁行團隊/長庚醫療財團法人林口長庚紀念醫院,
鐘耳鼻喉科診所,新北市五股區成泰路2段57號1樓1樓、2樓,02-82953587,馬偕共好醫療照護合作團隊/台灣基督長老教會馬偕醫療財團法人馬偕紀念醫院馬偕共好醫療照護合作團隊/台灣基督長老教會馬偕醫療財團法人馬偕兒童醫院馬偕共好醫療照護合作團隊/台灣基督長老教會馬偕醫療財團法人淡水馬偕紀念醫院林口長庚紀念醫院雁行團隊/長庚醫療財團法人林口長庚紀念醫院,
鴻佑診所,新北市五股區成泰路2段61號1樓,02-82950772,馬偕共好醫療照護合作團隊/台灣基督長老教會馬偕醫療財團法人馬偕紀念醫院馬偕共好醫療照護合作團隊/台灣基督長老教會馬偕醫療財團法人馬偕兒童醫院馬偕共好醫療照護合作團隊/台灣基督長老教會馬偕醫療財團法人淡水馬偕紀念醫院林口長庚紀念醫院雁行團隊/長庚醫療財團法人林口長庚紀念醫院,
嘉安小兒科診所,新北市五股區凌雲路1段72號,02-22935100,馬偕共好醫療照護合作團隊/台灣基督長老教會馬偕醫療財團法人馬偕紀念醫院馬偕共好醫療照護合作團隊/台灣基督長老教會馬偕醫療財團法人馬偕兒童醫院馬偕共好醫療照護合作團隊/台灣基督長老教會馬偕醫療財團法人淡水馬偕紀念醫院林口長庚紀念醫院雁行團隊/長庚醫療財團法人林口長庚紀念醫院,
仁禾診所,新北市板橋區民生路三段93號1、2樓,02-82571827,馬偕共好醫療照護合作團隊/台灣基督長老教會馬偕醫療財團法人馬偕紀念醫院馬偕共好醫療照護合作團隊/台灣基督長老教會馬偕醫療財團法人馬偕兒童醫院馬偕共好醫療照護合作團隊/台灣基督長老教會馬偕醫療財團法人淡水馬偕紀念醫院林口長庚紀念醫院雁行團隊/長庚醫療財團法人林口長庚紀念醫院,
弘森診所,新北市泰山區明志路1段257號,02-29090568,馬偕共好醫療照護合作團隊/台灣基督長老教會馬偕醫療財團法人馬偕紀念醫院馬偕共好醫療照護合作團隊/台灣基督長老教會馬偕醫療財團法人馬偕兒童醫院馬偕共好醫療照護合作團隊/台灣基督長老教會馬偕醫療財團法人淡水馬偕紀念醫院林口長庚紀念醫院雁行團隊/長庚醫療財團法人林口長庚紀念醫院,
